ba'a barna  mark
cif  cifnu  infant
cig  cigla  gland
cij  cinje  wrinkle
cik  cikna  awake
cil  cilta  thread
cim  cilmo  moist
cin  cinse  sexual
cip  cipra  test
cir  citri  history
cis  crisa  summer
cit  citno  young
civ  civla  louse
ciz  cizra  strange
cka  ckana  bed
cke  ckeji  ashamed
cki  ciksi  explain
cko  cokcu  soak up
cku  cukta  book
cla  clani  long
cli  cilre  learn
clu  culno  full
cma  cmalu  small
cme  cmene  name
cmi  cmima  member
cmo  cmoni  moan
cmu  jicmu  basis
cna  canpa  shovel
cne  cenba  vary
cni  cinmo  emotion
cno  condi  deep
cnu  macnu  manual
co'a co'a   initiative
co'e co'e   unspecif bridi
co'i cmoni  moan
co'u co'u   cessative
coi  condi  deep
col  co     tanru inversion
com  co'e   unspecif bridi
con  condi  deep
cor  cortu  pain
cpa  cpacu  get
cpe  cpedu  request
cpi  cipni  bird
cpu  lacpu  pull
cra  crane  front
cre  certu  expert
cri  cirko  lose
cro  cortu  pain
cru  curmi  let
cta  catlu  look
cte  nicte  night
cti  citka  eat
cto  xecto  100
ctu  ctuca  teach
cu'a cuxna  choose
cu'e ckule  school
cu'i cumki  possible
cu'o cunso  random
cu'u cuntu  affair
cuc  cutci  shoe
cuk  cukla  round
cul  cumla  humble
cum  cumki  possible
cun  cunso  random
cup  clupa  loop
cur  curnu  worm
cus  cusku  express
cut  cutne  chest
cuv  curve  pure
cux  cuxna  choose
da'a damba  fight
da'e danre  pressure
da'i darxi  hit
da'o darno  far
da'u danlu  animal
dab  damba  fight
dac  dacru  drawer
dad  dandu  hang
daf  danfu  answer
dag  dargu  road
dai  dacti  object
daj  dadjo  Taoist
dak  dakfu  knife
dal  danlu  animal
dam  danmo  smoke
dan  danti  projectile
dap  dapma  curse
dar  darno  far
das  dasni  wear
dat  drata  other
dau  darlu  argue
dav  da     something 1
dax  darxi  hit
daz  da'a   all except
de'a denpa  wait
de'i denci  tooth
de'o delno  candela
de'u dertu  dirt
deb  dembi  bean
dec  decti  .1
deg  degji  finger
dei  djedi  full day
dej  dejni  owe
dek  dekto  10
del  delno  candela
dem  denmi  dense
den  denci  tooth
dep  denpa  wait
der  dertu  dirt
des  desku  shake
det  detri  date
di'a jdima  price
di'e dirce  radiate
di'i jdini  money
di'o dinko  nail
di'u dinju  building
dib  dirba  dear
dic  dikca  electric
dig  dirgo  drop
dij  dinju  building
dik  dikni  regular
dil  dilnu  cloud
dim  dimna  fate
din  jdini  money
dir  dicra  interrupt
diz  dizlo  low
dja  cidja  food
dje  djedi  full day
dji  djica  desire
djo  sadjo  Saudi
dju  sidju  help
do'i donri  daytime
do'o dotco  German
doi  do     you
don  do     you
dor  donri  daytime
dot  dotco  German
dra  drani  correct
dre  derxi  heap
dri  badri  sad
dro  cidro  hydrogen
dru  drudi  roof
du'a dunda  give
du'e dukse  excess
du'i dunli  equal
du'o du     same identity as
du'u dunku  anguish
dub  du     same identity as
dud  dunda  give
dug  dugri  logarithm
duj  dunja  freeze
duk  dunku  anguish
dul  jduli  jelly
dum  du'u   bridi abstract
dun  dunli  equal
dur  dunra  winter
dus  dukse  excess
dut  dukti  opposite
dza  da     something 1
dze  dzena  elder
dzi  dizlo  low
dzu  cadzu  walk
fa'a farna  direction
fa'e fatne  reverse
fa'i facki  discover
fa'o fanmo  end
fa'u farlu  fall
fac  fatci  fact
fad  fadni  ordinary
fag  fagri  fire
fai  fatri  distribute
fak  facki  discover
fal  farlu  fall
fam  fanmo  end
fan  falnu  sail
fap  fapro  oppose
far  farna  direction
fas  fraso  French
fat  fatne  reverse
fau  fasnu  event
fav  farvi  develop
fax  fraxu  forgive
faz  fanza  annoy
fe'a fenra  crack
fe'i fetsi  female
fe'o fenso  sew
fe'u fengu  angry
feb  febvi  boil
fed  fendi  divide
feg  fengu  angry
fei  fepni  cent
fek  fenki  crazy
fem  femti  1E-15
fen  fenso  sew
fep  fepni  cent
fer  fenra  crack
fes  festi  waste
fet  fetsi  female
fi'a cfika  fiction
fi'e finpe  fish
fi'i finti  invent
fi'o friko  African
fi'u cfipu  confusing
fic  frica  differ
fig  figre  fig
fik  cfika  fiction
fil  frili  easy
fin  finti  invent
fip  finpe  fish
fir  flira  face
fis  filso  Palestinian
fit  friti  offer
fla  flalu  law
fle  flecu  flow
fli  fliba  fail
flo  foldi  field
flu  fulta  float
fo'a fo'a   it-6
fo'e fo'e   it-7
fo'i fo'i   it-8
fo'o fonmo  foam
foi  foldi  field
fom  fonmo  foam
fon  fonxa  telephone
fra  frati  react
fre  ferti  fertile
fri  lifri  experience
fro  forca  fork
fru  frumu  frown
fu'a funca  luck
fu'e fuzme  responsible
fu'i fukpi  copy
fuk  fukpi  copy
ful  fulta  float
fun  funca  luck
fur  fusra  rotten
fuz  fuzme  responsible
ga'a grana  rod
ga'e ganse  sense
ga'i galfi  modify
ga'o ganlo  closed
ga'u galtu  high
gac  gapci  gas
gad  gadri  article
gaf  galfi  modify
gai  gacri  cover
gal  galtu  high
gan  ganra  broad
gap  gapru  above
gar  garna  rail
gas  ganse  sense
gat  gasta  steel
gau  gasnu  do
gax  ganxo  anus
gaz  ganzu  organize
ge'a gerna  grammar
ge'o gento  Argentinian
ge'u gerku  dog
gei  gleki  happy
gej  genja  root
gek  gleki  happy
gen  gerna  grammar
ger  gerku  dog
get  gento  Argentinian
gex  genxu  hook
gi'a gidva  guide
gi'e zgike  music
gi'o gigdo  1E9
gi'u gismu  root word
gic  glico  English
gid  gidva  guide
gig  gigdo  1E9
gik  ginka  camp
gim  gismu  root word
gin  jgina  gene
gir  girzu  group
git  jgita  guitar
gla  glare  hot
gle  gletu  copulate
gli  glico  English
glu  gluta  glove
goc  gocti  1E-24
got  gotro  1E24
gra  grake  gram
gre  pagre  pass through
gri  girzu  group
gru  gurni  grain
gu'a gunka  work
gu'e gugde  country
gu'i gusni  illumine
gu'o gunro  roll
gub  gubni  public
guc  gutci  cubit
gud  gundi  industry
gug  gugde  country
guk  guska  scrape
gum  gunma  jointly
gun  gunka  work
gur  gunro  roll
gus  gusni  illumine
gut  gunta  attack
guz  guzme  melon
ja'a jatna  captain
ja'e jalge  result
ja'i jadni  adorn
ja'o jarco  show
ja'u jgalu  claw
jab  janbe  bell
jac  djacu  water
jad  jadni  adorn
jaf  jamfu  foot
jag  jalge  result
jai  jgari  grasp
jaj  jmaji  gather
jak  jarki  narrow
jal  janli  collide
jam  jamna  war
jan  janco  shoulder
jap  jaspu  passport
jar  jdari  firm
jas  jansu  diplomat
jat  janta  account
jau  djacu  water
jav  ja     tanru or
jba  jbari  berry
jbe  jbena  born
jbi  jibni  near
jbo  lojbo  Lojbanic
jbu  jubme  table
jda  lijda  religion
jde  kajde  warn
jdi  jdice  decide
jdu  jduli  jelly
je'a jecta  polity
je'e jetce  jet
je'i jersi  chase
je'o jegvo  Jehovist
je'u jetnu  true
jec  jecta  polity
jed  jendu  axle
jef  jeftu  week
jeg  jegvo  Jehovist
jei  jenmi  army
jel  jelca  burn
jem  jenmi  army
jen  jenca  shock
jer  jbera  borrow
jes  jesni  needle
jet  jetnu  true
jev  je     tanru and
jex  jerxo  Algerian
jez  jei    truth abstract
jga  jganu  angle
jge  jgena  knot
jgi  jgira  pride
ji'a jinga  win
ji'e jmive  live
ji'i jinvi  opine
ji'o jipno  tip
ji'u jvinu  view
jib  jibri  job
jic  jimca  branch
jif  jitfa  false
jig  jinga  win
jij  jijnu  intuit
jik  jikca  socialize
jil  jilka  alkali
jim  jinme  metal
jin  djine  ring
jip  jipno  tip
jir  jinru  immerse
jis  jinsa  clean
jit  jimte  limit
jiv  jinvi  opine
jiz  jinzi  innate
jma  jamfu  foot
jme  jemna  gem
jmi  jimpe  understand
jo'e jorne  joined
jo'o jordo  Jordanian
jo'u jo'u   in common with
joi  joi    in a mass with
jol  joi    in a mass with
jom  jo'e   union
jon  jorne  joined
jor  jordo  Jordanian
jov  jo     tanru iff
ju'a jufra  sentence
ju'e julne  net
ju'i jundi  attentive
ju'o djuno  know
jub  jubme  table
jud  jundi  attentive
juf  jufra  sentence
jug  jungo  Chinese
juk  jukni  spider
jul  junla  clock
jum  jurme  germ
jun  djuno  know
jup  jukpa  cook
jur  junri  serious
jus  jursa  severe
jut  jutsi  species
juv  ju     tanru whether
jux  juxre  clumsy
jva  javni  rule
jve  je     tanru and
jvi  jivna  compete
jvo  lujvo  affix compound
ka'a katna  cut
ka'e kakne  able
ka'i krati  represent
ka'o kanro  healthy
ka'u kantu  quantum
kab  karbi  compare
kac  kancu  count
kad  kandi  dim
kaf  ckafi  coffee
kag  kagni  company
kai  ckaji  quality
kaj  kanji  calculate
kak  klaku  weep
kal  kanla  eye
kam  ka     property abstract
kan  kansa  with
kap  skapi  pelt
kar  kalri  open
kas  kalsa  chaotic
kat  kalte  hunt
kau  kampu  common
kav  kavbu  capture
kax  kanxe  conjunction
ke'a kevna  cavity
ke'e ke'e   end grouping
ke'i kecti  pity
ke'o kelvo  kelvin
ke'u krefu  recur
kec  kecti  pity
kei  kelci  play
kej  ckeji  ashamed
kel  kelci  play
kem  ke     start grouping
ken  kenra  cancer
kep  ke'e   end grouping
ker  kerlo  ear
kes  kensa  outer space
ket  ketco  South American
kev  kevna  cavity
kez  kei    end abstraction
ki'a krixa  cry out
ki'e kicne  cushion
ki'i ckini  related
ki'o kilto  1000
ki'u krinu  reason
kic  kicne  cushion
kij  kijno  oxygen
kik  ckiku  key
kil  kinli  sharp
kin  skina  cinema
kir  ckire  grateful
kis  kisto  Pakistani
kit  kliti  clay
kix  krixa  cry out
kla  klama  come
kle  klesi  class
kli  klina  clear
klo  diklo  local
klu  kulnu  culture
ko'a kojna  corner
ko'e kolme  coal
ko'i kobli  cabbage
ko'o skoto  Scottish
ko'u konju  cone
kob  kobli  cabbage
koi  korbi  edge
koj  kojna  corner
kok  korka  cork
kol  kolme  coal
kom  komcu  comb
kon  konju  cone
kor  korbi  edge
kos  kosta  coat
kot  skoto  Scottish
kra  krasi  source
kre  kerfa  hair
kri  krici  believe
kro  korcu  bent
kru  kruvi  curve
ku'a kumfa  room
ku'e kuspe  range
ku'i kurji  take care of
ku'o skuro  groove
ku'u ckunu  conifer
kub  kubli  cube
kuc  kruca  intersect
kuf  kufra  comfort
kuj  kurji  take care of
kuk  kukte  delicious
kul  ckule  school
kum  kumfa  room
kun  kunra  mineral
kup  kuspe  range
kur  kurfa  square
kus  kusru  cruel
kut  kunti  empty
kuz  ku'a   intersection
la'a lasna  fasten
la'e lakne  probable
la'i lamji  adjacent
la'o latmo  Latin
la'u lalxu  lake
lab  blabi  white
lac  lacri  rely
lad  ladru  milk
laf  lafti  lift
lag  vlagi  vulva
lai  klani  quantity
laj  klaji  street
lak  lakse  wax
lal  lanli  analyze
lam  lamji  adjacent
lan  lanme  sheep
lap  lacpu  pull
lar  larcu  art
las  slasi  plastic
lat  mlatu  cat
lau  cladu  loud
lax  lanxe  balance
laz  lanzu  family
le'a lebna  take
le'i pleji  pay
le'o lenjo  lens
le'u lerfu  letteral
leb  lebna  take
lec  lerci  late
led  mledi  mold
lei  klesi  class
lej  pleji  pay
lek  lenku  cold
lem  le'e   the stereotypical
len  lenjo  lens
ler  lerfu  letteral
let  gletu  copulate
li'a cliva  leave
li'e lidne  precede
li'i linji  line
li'o linto  lightweight
li'u litru  travel
lib  libjo  Libyan
lic  litce  liter
lid  lindi  lightning
lif  lifri  experience
lig  sligu  solid
lij  linji  line
lik  litki  liquid
lil  livla  fuel
lim  limna  swim
lin  linsi  chain
lir  clira  early
lis  lisri  story
lit  clite  polite
liv  cliva  leave
lix  plixa  plow
liz  li'i   experience abstract
lo'i bloti  boat
lo'o slovo  Slavic
lo'u lorxu  fox
lob  lojbo  Lojbanic
loi  loldi  floor
loj  logji  logic
lol  loldi  floor
lom  lo'e   the typical
lor  lorxu  fox
lot  bloti  boat
lov  slovo  Slavic
lu'a pluta  route
lu'e klupe  screw
lu'i lumci  wash
lu'o lubno  Lebanese
lub  lunbe  bare
luj  pluja  complicated
lum  lumci  wash
lun  mluni  satellite
lup  klupe  screw
lur  lunra  lunar
lus  lunsa  condense
lut  pluta  route
luv  lujvo  affix compound
luz  kluza  loose
ma'a cmana  mountain
ma'e marce  vehicle
ma'i masti  month
ma'o cmavo  structure word
ma'u makcu  mature
mab  mabru  mammal
mac  manci  wonder
mad  marde  morals
maf  makfa  magic
mag  margu  mercury
mai  marji  material
maj  marji  material
mak  maksi  magnet
mal  mabla  derogative
mam  mamta  mother
man  manku  dark
map  mapku  cap
mar  manri  reference
mas  malsi  temple
mat  mapti  fit
mau  zmadu  more
mav  mavji  oats
max  marxa  mash
me'a mleca  less
me'e cmene  name
me'i mensi  sister
me'o mekso  MEX
me'u mentu  minute
meb  mebri  brow
mec  mleca  less
meg  megdo  1E6
mei  mei    cardinal selbri
mej  meljo  Malaysian
mek  mekso  MEX
mel  melbi  beautiful
mem  mei    cardinal selbri
men  menli  mind
mer  merko  American
mes  mensi  sister
met  mentu  minute
mex  mexno  Mexican
mi'a cmila  laugh
mi'e minde  command
mi'i minji  machine
mi'o misno  famous
mi'u mintu  same
mib  mi     me
mic  mikce  doctor
mid  minde  command
mif  mifra  code
mij  midju  middle
mik  mikri  1E-6
mil  milti  .001
mim  cmima  member
min  jmina  add
mip  mipri  secret
mir  minra  reflect
mis  misno  famous
mit  mintu  same
miv  jmive  live
mix  mixre  mixture
mla  mlana  side
mle  melbi  beautiful
mli  milxe  mild
mlo  molki  mill
mlu  simlu  seem
mo'a morna  pattern
mo'i morji  remember
mo'o molro  mole
mo'u moklu  mouth
mob  mo'a   too few
moc  mokca  point
moi  moi    ordinal selbri
moj  morji  remember
mol  moklu  mouth
mom  moi    ordinal selbri
mon  morna  pattern
mor  morko  Moroccan
mos  mosra  friction
mov  mo'i   space motion
mra  marbi  shelter
mre  merli  measure
mri  mrilu  mail
mro  morsi  dead
mru  mruli  hammer
mu'a murta  curtain
mu'e munje  universe
mu'i mukti  motive
mu'o mulno  complete
mu'u muvdu  move
muc  smuci  spoon
mud  mudri  wood
muf  mu'e   point-event abstrac
muj  munje  universe
muk  mukti  motive
mul  mulno  complete
mum  mu     5
mun  smuni  meaning
mup  mupli  example
mur  murta  curtain
mus  muslo  Islamic
mut  mucti  immaterial
muv  muvdu  move
muz  muzga  museum
na'a nanca  year
na'e natfe  deny
na'i nalci  wing
na'o cnano  norm
na'u namcu  number
nab  nanba  bread
nac  namcu  number
nad  nandu  difficult
naf  natfe  deny
nag  narge  nut
nai  natmi  nation
naj  narju  orange
nak  nakni  male
nal  na'e   scalar contrary
nam  nabmi  problem
nan  snanu  south
nar  na     bridi negator
nat  natmi  nation
nau  nanmu  man
nav  nanvi  1E-9
nax  naxle  canal
naz  nazbi  nose
ne'i nenri  in
ne'o cnebo  neck
ne'u cnemu  reward
neb  cnebo  neck
nei  nelci  fond
nel  nelci  fond
nem  cnemu  reward
nen  nejni  energy
ner  nenri  in
ni'a cnita  beneath
ni'e nilce  furniture
ni'i nibli  necessitate
ni'o cnino  new
ni'u ninmu  woman
nib  nibli  necessitate
nic  cnici  orderly
nid  snidu  second
nik  nikle  nickel
nil  ni     amount abstract
nim  ninmu  woman
nin  cnino  new
nip  snipa  sticky
nir  nirna  nerve
nis  cnisa  lead
nit  cnita  beneath
niv  nivji  knit
nix  nixli  girl
no'e no'e   scalar midpoint not
no'i nobli  noble
noi  notci  message
nol  nobli  noble
non  no     0
nor  no'e   scalar midpoint not
not  notci  message
nu'a snura  secure
nu'e nupre  promise
nu'i nutli  neutral
nu'o nu'o   can but has not
nuj  snuji  sandwich
nuk  nukni  magenta
nul  nutli  neutral
num  nurma  rural
nun  nu     event abstract
nup  nupre  promise
nur  snura  secure
nut  snuti  accidental
nuz  nuzba  news
pa'a pacna  hope
pa'e prane  perfect
pa'i prami  love
pa'o panlo  slice
pa'u patfu  father
pab  parbi  ratio
pac  palci  evil
pad  pandi  punctuate
paf  patfu  father
pag  pagbu  part
pai  pajni  judge
paj  spaji  surprise
pak  palku  pants
pal  prali  profit
pam  prami  love
pan  panci  odor
pap  panpi  peace
par  cpare  climb
pas  pastu  robe
pat  pante  protest
pau  pagbu  part
pav  pa     1
pax  patxu  pot
paz  panzi  offspring
pe'a preja  spread
pe'i penmi  meet
pe'o pendo  friend
pe'u pencu  touch
peb  penbi  pen
pec  pencu  touch
ped  pendo  friend
pei  pensi  think
pej  preja  spread
pel  pelxu  yellow
pem  pemci  poem
pen  penmi  meet
per  perli  pear
pes  pensi  think
pet  petso  1E15
pev  pe'a   figurative
pex  pesxu  paste
pez  pezli  leaf
pi'a pilka  crust
pi'e plipe  leap
pi'i pilji  multiply
pi'o pipno  piano
pi'u pimlu  feather
pib  plibu  pubic
pic  picti  1E-12
pid  pindi  poor
pif  pinfu  prisoner
pij  prije  wise
pik  pinka  comment
pil  pilka  crust
pim  pimlu  feather
pin  pinta  level
pip  plipe  leap
pir  pixra  picture
pis  pinsi  pencil
pit  plita  plane
piv  pi'u   cross product
pix  pinxe  drink
piz  pi     decimal point
pla  platu  plan
ple  pelji  paper
pli  pilno  use
plo  polje  fold
plu  daplu  island
po'a spoja  explode
po'e ponse  possess
po'i porpi  break
po'o ponjo  Japanese
po'u spofu  broken
pof  spofu  broken
poi  porsi  sequence
poj  spoja  explode
pol  polno  Polynesian
pon  ponjo  Japanese
pop  porpi  break
por  porsi  sequence
pos  ponse  possess
pot  porto  Portuguese
pra  cupra  produce
pre  prenu  person
pri  prina  print
pro  fapro  oppose
pru  purci  past
pu'a pluka  pleasant
pu'e pulce  dust
pu'i punji  put
pu'o purmo  powder
pu'u sputu  spit
puc  pulce  dust
pud  purdi  garden
puj  punji  put
puk  pluka  pleasant
pul  punli  swelling
pum  purmo  powder
pun  pruni  elastic
pur  purci  past
pus  pu'i   can and has
put  sputu  spit
puv  pu'u   process abstract
ra'a srana  pertain
ra'e ralte  retain
ra'i ranji  continue
ra'o radno  radian
ra'u raktu  trouble
rab  xrabo  Arabic
rac  ralci  delicate
rad  randa  yield
raf  rafsi  affix
rag  rango  organ
rai  traji  superlative
raj  sraji  vertical
rak  sraku  scratch
ral  ralju  principal
ram  ranmi  myth
ran  ranti  soft
rap  rapli  repeat
rar  rarna  natural
ras  grasu  grease
rat  ratni  atom
rau  gradu  unit
rav  ragve  across
rax  ranxi  irony
raz  brazo  Brazilian
re'a remna  human
re'e trene  train
re'i renvi  survive
re'o renro  throw
re'u rectu  meat
reb  rebla  tail
rec  rectu  meat
red  bredi  ready
ref  krefu  recur
rei  preti  question
rej  vreji  record
rek  greku  frame
rel  re     2
rem  remna  human
ren  trene  train
rep  crepu  harvest
rer  renro  throw
res  respa  reptile
ret  preti  question
rev  renvi  survive
ri'a rinka  cause
ri'e rirxe  river
ri'i ritli  rite
ri'o crino  green
ri'u rinju  restrain
rib  cribe  bear
ric  tricu  tree
rid  crida  fairy
rif  ricfu  rich
rig  rigni  disgusting
rij  rijno  silver
rik  rinka  cause
ril  rilti  rhythm
rim  rimni  rhyme
rin  krinu  reason
rip  cripu  bridge
rir  rirni  parent
ris  rismi  rice
rit  brito  British
riv  rivbi  avoid
rix  trixe  behind
ro'a prosa  prose
ro'i rokci  rock
ro'o ropno  European
ro'u rotsu  thick
rod  broda  predicate var 1
rog  romge  chrome
roi  roi    quantified tense
rok  rokci  rock
rol  ro     each
rom  roi    quantified tense
ron  ropno  European
ror  rorci  procreate
ros  prosa  prose
rot  rotsu  thick
roz  rozgu  rose
ru'a sruma  assume
ru'e pruce  process
ru'i pruxi  spirit
ru'o rusko  Russian
ru'u rupnu  dollar
rub  ruble  weak
ruc  pruce  process
rud  drudi  roof
ruf  rufsu  rough
ruj  kruji  cream
ruk  rusko  Russian
rul  xrula  flower
rum  runme  melt
run  rutni  artifact
rup  rupnu  dollar
rur  sruri  surround
rus  grusi  gray
rut  grute  fruit
ruv  kruvi  curve
rux  pruxi  spirit
sa'a sanga  sing
sa'e satre  stroke
sa'i sanli  stand
sa'o salpo  slope
sa'u sarcu  necessary
sab  sabji  provide
sac  stace  honest
sad  snada  succeed
sag  sanga  sing
sai  sanmi  meal
saj  sanji  conscious
sak  sakci  suck
sal  sakli  slide
sam  skami  computer
san  spano  Spanish
sap  sampu  simple
sar  slari  sour
sas  srasu  grass
sat  sakta  sugar
sau  slabu  familiar
sav  savru  noise
sax  sarxe  harmonious
saz  sazri  operate
se'a setca  insert
se'i sevzi  self
se'u selfu  serve
seb  steba  frustration
sec  senci  sneeze
sed  stedu  head
sef  selfu  serve
sei  sepli  apart
sel  se     2nd conversion
sen  senpi  doubt
sep  sepli  apart
ser  serti  stairs
set  senta  layer
sev  senva  dream
sez  sevzi  self
sfa  sfasa  punish
sfe  sefta  surface
sfo  sfofa  sofa
sfu  sufti  hoof
si'a sinma  esteem
si'e snime  snow
si'i sicni  coin
si'o sidbo  idea
si'u simxu  mutual
sib  sidbo  idea
sic  stici  west
sid  stidi  suggest
sig  sigja  cigar
sij  skiji  ski
sik  silka  silk
sil  siclu  whistle
sim  simxu  mutual
sin  tsina  stage
sip  sipna  sleep
sir  sirji  straight
sis  sisku  seek
sit  sitna  cite
siv  sivni  private
six  sirxo  Syrian
siz  si'o   concept abstract
ska  skari  color
ske  saske  science
ski  skicu  describe
sko  skori  cord
sku  cusku  express
sla  salci  celebrate
sle  selci  cell
sli  slilu  oscillate
slo  solji  gold
slu  sluji  muscle
sma  smaji  quiet
sme  semto  Semitic
smi  simsa  similar
smo  smoka  sock
smu  smuni  meaning
sna  sance  sound
sne  senva  dream
sni  sinxa  sign
sno  masno  slow
snu  casnu  discuss
so'a sovda  egg
so'e sobde  soya
so'i so'i   many
so'o sombo  sow
sob  sobde  soya
soc  sorcu  store
sod  sodva  soda
sof  softo  Soviet
sog  sorgu  sorghum
soi  sonci  soldier
soj  so'a   almost all
sol  solri  solar
som  sombo  sow
son  sonci  soldier
sop  so'e   most
sor  so'i   many
sos  so'o   several
sot  so'u   few
sov  sovda  egg
soz  so     9
spa  spati  plant
spe  speni  married
spi  spisa  piece
spo  daspo  destroy
spu  spuda  reply
sra  sarji  support
sre  srera  err
sri  dasri  ribbon
sro  sorcu  store
sru  sruri  surround
sta  stali  remain
ste  liste  list
sti  sisti  cease
sto  stodi  constant
stu  stuzi  site
su'a stura  structure
su'e su'e   at most
su'i sumti  argument
su'o su'o   at least
su'u sfubu  dive
sub  sfubu  dive
suc  sucta  abstract
sud  sudga  dry
sug  sunga  garlic
suj  sumji  sum
suk  suksa  sudden
sul  sunla  wool
sum  sumti  argument
sun  stuna  east
sup  su'e   at most
sur  surla  relax
sut  sutra  fast
suv  su'u   unspecif abstract
suz  su'o   at least
ta'a tavla  talk
ta'e tanxe  box
ta'i tatpi  tired
ta'o tanbo  board
ta'u taxfu  garment
tab  tabno  carbon
tac  tance  tongue
tad  tadni  study
taf  taxfu  garment
tag  tagji  snug
tai  tarmi  shape
taj  tamji  thumb
tak  staku  ceramic
tal  talsa  challenge
tam  tarmi  shape
tan  tsani  sky
tap  stapa  step
tar  tarci  star
tas  tansi  pan
tat  tatru  breast
tau  tanru  phrase compound
tav  tavla  talk
tax  tanxe  box
taz  ta     that there
tca  tcadu  city
tce  mutce  much
tci  tutci  tool
tco  ketco  South American
tcu  nitcu  need
te'a terpa  fear
te'i steci  specific
te'o stero  steradian
te'u tengu  texture
teb  ctebi  lip
tec  steci  specific
ted  terdi  earth
tef  tenfa  exponential
teg  tengu  texture
tei  temci  time
tek  cteki  tax
tel  stela  lock
tem  temci  time
ten  tcena  stretch
tep  terpa  fear
ter  te     3rd conversion
tet  terto  1E12
ti'a tcima  weather
ti'e trixe  behind
ti'i stidi  suggest
ti'o ctino  shadow
ti'u tixnu  daughter
tib  tinbe  obey
tic  tcica  deceive
tid  tcidu  read
tif  ti     this here
tig  tigni  perform
tij  tilju  heavy
tik  stika  adjust
til  tcila  detail
tim  tcima  weather
tin  tirna  hear
tip  tikpa  kick
tir  tirse  iron
tis  tisna  fill
tit  titla  sweet
tiv  tivni  television
tix  tixnu  daughter
tiz  stizu  chair
to'a tonga  tone
to'e to'e   polar opposite
to'i torni  twist
to'u tordu  short
toc  troci  try
tod  toldi  butterfly
tog  tonga  tone
toi  troci  try
tok  toknu  oven
tol  to'e   polar opposite
ton  torni  twist
tor  tordu  short
tra  tarti  behave
tre  mitre  meter
tri  trina  attract
tro  jitro  control
tru  turni  govern
tsa  tsali  strong
tse  zutse  sit
tsi  tsiju  seed
tsu  rotsu  thick
tu'a tumla  land
tu'e tuple  leg
tu'i tugni  agree
tu'o tunlo  swallow
tu'u tubnu  tube
tub  tunba  sibling
tuf  tu     that yonder
tug  tugni  agree
tuj  tujli  tulip
tuk  tunka  copper
